Season,#,Team,Points,MP,W,D,L,GF,GA,GD
07/08,7,RCD Mallorca,59,38,15,14,9,69,54,15
07/08,8,UD Almería,52,38,14,10,14,41,45,-4
07/08,9,RC Deportivo,52,38,15,7,16,46,47,-1
07/08,10,Valencia CF,51,38,15,6,17,48,62,-14
07/08,11,Athletic,50,38,13,11,14,40,43,-3
07/08,12,RCD Espanyol,48,38,13,9,16,43,52,-9
07/08,13,Real Betis,47,38,12,11,15,45,51,-6
07/08,14,Getafe CF,47,38,12,11,15,44,48,-4
07/08,15,Real Valladolid,45,38,11,12,15,42,57,-15
07/08,16,Recreativo,44,38,11,11,16,40,60,-20
07/08,17,CA Osasuna,43,38,12,7,19,37,44,-7
07/08,18,Real Zaragoza,42,38,10,12,16,50,61,-11
07/08,19,Real Murcia,30,38,7,9,22,36,65,-29
07/08,20,Levante UD,26,38,7,5,26,33,75,-42
08/09,1,FC Barcelona,87,38,27,6,5,105,35,70
08/09,2,Real Madrid,78,38,25,3,10,83,52,31
08/09,3,Sevilla FC,70,38,21,7,10,54,39,15
08/09,4,Atlético Madrid,67,38,20,7,11,80,57,23
08/09,5,Villarreal CF,65,38,18,11,9,61,54,7
08/09,6,Valencia CF,62,38,18,8,12,68,54,14
08/09,7,RC Deportivo,58,38,16,10,12,48,47,1
08/09,8,Málaga CF,55,38,15,10,13,55,59,-4
08/09,9,RCD Mallorca,51,38,14,9,15,53,60,-7
08/09,10,RCD Espanyol,47,38,12,11,15,46,49,-3
08/09,11,UD Almería,46,38,13,7,18,45,61,-16
08/09,12,Racing,46,38,12,10,16,49,48,1
08/09,13,Athletic,44,38,12,8,18,47,62,-15
08/09,14,Real Sporting,43,38,14,1,23,47,79,-32
08/09,15,CA Osasuna,43,38,10,13,15,41,47,-6
08/09,16,Real Valladolid,43,38,12,7,19,46,58,-12
08/09,17,Getafe CF,42,38,10,12,16,50,56,-6
08/09,18,Real Betis,42,38,10,12,16,51,58,-7
08/09,19,CD Numancia,35,38,10,5,23,38,69,-31
08/09,20,Recreativo,33,38,8,9,21,34,57,-23
09/10,1,FC Barcelona,99,38,31,6,1,98,24,74
09/10,2,Real Madrid,96,38,31,3,4,102,35,67
09/10,3,Valencia CF,71,38,21,8,9,59,40,19
09/10,4,Sevilla FC,63,38,19,6,13,65,49,16
09/10,5,RCD Mallorca,62,38,18,8,12,59,44,15
09/10,6,Getafe CF,58,38,17,7,14,58,48,10
09/10,7,Villarreal CF,56,38,16,8,14,58,57,1
09/10,8,Athletic,54,38,15,9,14,50,53,-3
09/10,9,Atlético Madrid,47,38,13,8,17,57,61,-4
09/10,10,RC Deportivo,47,38,13,8,17,35,49,-14
09/10,11,RCD Espanyol,44,38,11,11,16,29,46,-17
09/10,12,CA Osasuna,43,38,11,10,17,37,46,-9
09/10,13,UD Almería,42,38,10,12,16,43,55,-12
09/10,14,Real Zaragoza,41,38,10,11,17,46,64,-18
09/10,15,Real Sporting,40,38,9,13,16,36,51,-15
09/10,16,Racing,39,38,9,12,17,42,59,-17
09/10,17,Málaga CF,37,38,7,16,15,42,48,-6
09/10,18,Real Valladolid,36,38,7,15,16,37,62,-25
09/10,19,CD Tenerife,36,38,9,9,20,40,74,-34
09/10,20,Xerez CD,34,38,8,10,20,38,66,-28
10/11,1,FC Barcelona,96,38,30,6,2,95,21,74
10/11,2,Real Madrid,92,38,29,5,4,102,33,69
10/11,3,Valencia CF,71,38,21,8,9,64,44,20
10/11,4,Villarreal CF,62,38,18,8,12,54,44,10
10/11,5,Sevilla FC,58,38,17,7,14,62,61,1
10/11,6,Athletic,58,38,18,4,16,59,55,4
10/11,7,Atlético Madrid,58,38,17,7,14,62,53,9
10/11,8,RCD Espanyol,49,38,15,4,19,46,55,-9
10/11,9,CA Osasuna,47,38,13,8,17,45,46,-1
10/11,10,Real Sporting,47,38,11,14,13,35,42,-7
